compound,flat_state
Al2 Pt1 Re1,1
Li2 Os1 Tc1,0
B2 Cl1 Mn1,1
Cl2 Ge1 Si1,1
Cd2 Sb1 Tl1,0
Ga2 Mg1 Ru1,1
Ba2 Mn1 Sr1,1
Ir2 V1 Zn1,1
Cu2 Si1 V1,1
Al2 Co1 Fe1,1
Mo2 Na1 Se1,1
Be2 Ga1 V1,1
Br2 Co1 Tl1,0
Bi2 Cd1 Ni1,1
Cd2 Pt1 W1,0
Cr2 Li1 P1,1
Mg2 Na1 Rh1,0
Li2 Te1 V1,1
Cr2 K1 Rh1,0
Ba2 Ta1 V1,0
Br2 Sb1 Zr1,1
As2 Ba1 Rh1,0
Cl2 K1 Si1,0
B2 Li1 Zn1,1
In2 Ir1 Rh1,0
As2 Ca1 Ga1,1
Cl2 Fe1 Mn1,1
Co2 Ge1 Sn1,1
Co2 Ir1 Mg1,1
Bi2 Ta1 Tc1,0
Cl2 Pt1 Ta1,1
Ga2 Pd1 V1,1
Al2 Ca1 Pd1,1
Ca2 Mo1 Se1,0
B2 Be1 Ta1,1
B2 Ge1 Ru1,0
Cr2 Li1 Nb1,1
Ca2 In1 Pd1,0
Fe2 Os1 Rh1,1
Pt2 Tc1 Zn1,1
Nb2 Tl1 Zn1,0
Al2 Ge1 Hf1,1
Os2 Tl1 V1,1
Co2 P1 Ru1,1
Ag2 Ba1 Cl1,1
Ca2 Hf1 Se1,0
Ga2 Ni1 P1,1
Co2 Ir1 Sr1,1
Cl2 Os1 Te1,1
Ca2 Cu1 K1,1
Cd2 Cr1 Tc1,0
Ir2 Pb1 Si1,0
Nb2 P1 Pt1,0
Ni2 Sr1 W1,1
Be2 P1 Se1,1
Mo2 Rh1 V1,1
Bi2 Si1 Sr1,1
P2 Se1 Ti1,1
K2 Re1 W1,1
Cu2 In1 Zr1,1
Br2 Fe1 Rh1,1
As2 Se1 Zn1,1
Ge2 Mn1 Ru1,0
B2 Cr1 Li1,1
Au2 Be1 Ta1,1
Cl2 Fe1 Tc1,1
Be2 Mg1 Zr1,0
K2 Mo1 W1,1
Ba2 Ge1 Pd1,0
Br2 Ga1 Ni1,0
Cr2 Na1 Ta1,0
Ba2 Hf1 Li1,1
Bi2 Cr1 Tc1,1
Cl2 Ru1 Sr1,1
As2 Hg1 Mo1,1
Ca2 Pt1 Zr1,0
Ni2 Sb1 Si1,0
Ca2 Nb1 Os1,1
Al2 Ga1 Hg1,1
Be2 Co1 Pt1,1
B2 Hf1 Mo1,1
Bi2 Ir1 P1,1
Cu2 Na1 Tl1,1
Al2 Co1 Ta1,1
Pb2 Sb1 Tc1,1
Cd2 Nb1 Tl1,1
Li2 Ni1 Te1,1
K2 Mg1 V1,1
B2 Pb1 Ru1,1
B2 Ba1 Mo1,0
Ca2 Ge1 Tc1,0
Na2 Ru1 Zr1,0
Pb2 Sb1 Ti1,1
Cl2 Pd1 Pt1,1
Ba2 Be1 Cl1,0
As2 Fe1 Ni1,1
B2 Si1 Sn1,1
Ca2 Co1 Mo1,0
Na2 Sn1 Sr1,0
Au2 Li1 Mg1,0
Br2 Ga1 Hg1,1
Cl2 Co1 Tc1,1
Na2 Pt1 Si1,0
Au2 Bi1 Sr1,1
Ca2 K1 Mg1,1
Hf2 Tc1 Ti1,1
Ba2 Ir1 Na1,0
Ga2 Nb1 Sb1,1
Ir2 Pb1 Te1,0
Mg2 P1 Re1,1
Br2 K1 Ti1,0
Ga2 Pd1 Tc1,1
P2 Pd1 Sr1,1
Ca2 Mg1 Pt1,0
Pd2 Pt1 Re1,1
Ba2 Mo1 Ni1,0
Cr2 Ir1 Tl1,1
Ba2 Sr1 Ta1,1
Ca2 Hf1 Tc1,0
Ag2 Hf1 Mn1,0
Be2 Ga1 Pb1,1
As2 Be1 Re1,1
Bi2 Ru1 Se1,1
Hg2 Li1 Mg1,0
Ga2 Re1 Zr1,1
Mn2 Tc1 Zn1,1
Ag2 Br1 Si1,0
B2 Bi1 Cl1,1
Al2 Au1 Hg1,1
Ir2 K1 Os1,1
Pd2 Pt1 Zn1,0
Br2 K1 Pt1,1
Ir2 Na1 Nb1,1
Co2 Fe1 Ta1,1
B2 Ba1 Rh1,0
B2 Cl1 In1,1
Au2 Ba1 Ir1,0
